Wert1,Wert2,Wert3,Wert4,Wert5
"1220,598","1,89E-02","0,000029","4,745445E+00","7,283583E-03"
"1221,614","1,89E-02","0,000029","4,738503E+00","7,283665E-03"
"1222,632","1,88E-02","0,000029","4,722957E+00","7,283847E-03"
"1223,648","1,88E-02","0,000029","4,717022E+00","7,283918E-03"
"1224,652","1,87E-02","0,000029","4,704749E+00","7,284063E-03"
"1225,658","1,87E-02","0,000029","4,706506E+00","7,284042E-03"
"1226,692","1,87E-02","0,000029","4,692420E+00","7,284210E-03"
"1227,706","1,86E-02","0,000029","4,667529E+00","7,284510E-03"
"1228,724","1,86E-02","0,000029","4,678128E+00","7,284382E-03"
"1229,738","1,86E-02","0,000029","4,675830E+00","7,284409E-03"
"1230,756","1,85E-02","0,000029","4,653932E+00","7,284674E-03"
"1231,788","1,85E-02","0,000029","4,654608E+00","7,284666E-03"
"1232,807","1,86E-02","0,000029","4,662537E+00","7,284570E-03"
"1233,818","1,85E-02","0,000029","4,650211E+00","7,284720E-03"
"1234,836","1,85E-02","0,000028","4,635121E+00","7,033701E-03"
"1235,896","1,83E-02","0,000028","4,606274E+00","7,034044E-03"
"1236,946","1,83E-02","0,000028","4,598791E+00","7,034134E-03"
"1238,006","1,82E-02","0,000028","4,579279E+00","7,034370E-03"
"1239,024","1,82E-02","0,000028","4,577926E+00","7,034386E-03"
"1240,042","1,82E-02","0,000028","4,579538E+00","7,034367E-03"
"1241,046","1,82E-02","0,000028","4,569601E+00","7,034487E-03"
"1242,068","1,82E-02","0,000028","4,561682E+00","7,034584E-03"
"1243,085","1,82E-02","0,000028","4,571286E+00","7,034467E-03"
"1244,102","1,81E-02","0,000028","4,553284E+00","7,034687E-03"
"1245,114","1,81E-02","0,000028","4,548361E+00","7,034747E-03"
"1246,118","1,81E-02","0,000028","4,537636E+00","7,034880E-03"
"1247,122","1,80E-02","0,000028","4,533391E+00","7,034932E-03"
"1248,138","1,80E-02","0,000028","4,523712E+00","7,035052E-03"
"1249,142","1,79E-02","0,000028","4,500695E+00","7,035340E-03"
"1250,152","1,79E-02","0,000028","4,490025E+00","7,035474E-03"
"1251,154","1,79E-02","0,000028","4,490820E+00","7,035464E-03"
"1252,162","1,79E-02","0,000028","4,486278E+00","7,035522E-03"
"1253,166","1,78E-02","0,000028","4,475057E+00","7,035664E-03"
"1254,176","1,78E-02","0,000028","4,464837E+00","7,035794E-03"
"1255,197","1,78E-02","0,000028","4,474875E+00","7,035666E-03"
"1256,21","1,77E-02","0,000028","4,449772E+00","7,035987E-03"
"1257,214","1,77E-02","0,000028","4,441180E+00","7,036098E-03"
"1258,228","1,77E-02","0,000028","4,436297E+00","7,036161E-03"
"1259,247","1,77E-02","0,000028","4,436828E+00","7,036154E-03"
"1260,258","1,77E-02","0,000028","4,441736E+00","7,036090E-03"
"1261,264","1,76E-02","0,000028","4,427822E+00","7,036270E-03"
"1262,291","1,75E-02","0,000028","4,402943E+00","7,036595E-03"
"1263,293","1,75E-02","0,000028","4,399060E+00","7,036646E-03"
"1264,298","1,75E-02","0,000027","4,393143E+00","6,785413E-03"
"1265,318","1,75E-02","0,000027","4,396503E+00","6,785370E-03"
"1266,324","1,74E-02","0,000027","4,364528E+00","6,785779E-03"
"1267,344","1,73E-02","0,000027","4,356182E+00","6,785887E-03"
"1268,36","1,73E-02","0,000027","4,353049E+00","6,785927E-03"
"1269,378","1,73E-02","0,000027","4,357257E+00","6,785873E-03"
"1270,392","1,72E-02","0,000027","4,320992E+00","6,786346E-03"
"1271,412","1,72E-02","0,000027","4,326937E+00","6,786268E-03"
"1272,428","1,72E-02","0,000027","4,321199E+00","6,786343E-03"
"1273,449","1,72E-02","0,000027","4,314608E+00","6,786430E-03"
"1274,456","1,71E-02","0,000027","4,297410E+00","6,786658E-03"
"1275,474","1,71E-02","0,000027","4,296819E+00","6,786665E-03"
"1276,504","1,71E-02","0,000027","4,287681E+00","6,786787E-03"
"1277,522","1,70E-02","0,000027","4,274525E+00","6,786964E-03"
"1278,525","1,69E-02","0,000027","4,252010E+00","6,787268E-03"
"1279,529","1,69E-02","0,000027","4,251190E+00","6,787279E-03"
"1280,552","1,69E-02","0,000027","4,245823E+00","6,787352E-03"
"1281,569","1,69E-02","0,000027","4,251391E+00","6,787276E-03"
"1282,58","1,69E-02","0,000027","4,243375E+00","6,787385E-03"
"1283,598","1,68E-02","0,000027","4,234641E+00","6,787505E-03"
"1284,612","1,68E-02","0,000027","4,228592E+00","6,787588E-03"
"1285,63","1,67E-02","0,000027","4,198848E+00","6,787999E-03"
"1286,634","1,66E-02","0,000027","4,180156E+00","6,788261E-03"
"1287,637","1,67E-02","0,000027","4,192559E+00","6,788087E-03"
"1288,664","1,66E-02","0,000027","4,179079E+00","6,788276E-03"
"1289,667","1,66E-02","0,000027","4,171165E+00","6,788387E-03"
"1290,677","1,66E-02","0,000027","4,180283E+00","6,788259E-03"
"1291,696","1,66E-02","0,000027","4,184897E+00","6,788194E-03"
"1292,704","1,65E-02","0,000027","4,156758E+00","6,788592E-03"
"1293,724","1,65E-02","0,000026","4,147211E+00","6,537293E-03"
"1294,74","1,65E-02","0,000027","4,149160E+00","6,788700E-03"
"1295,758","1,65E-02","0,000026","4,136456E+00","6,537442E-03"
"1296,766","1,64E-02","0,000026","4,131994E+00","6,537503E-03"
"1297,786","1,63E-02","0,000026","4,106692E+00","6,537856E-03"
"1298,802","1,63E-02","0,000026","4,109593E+00","6,537816E-03"
"1299,82","1,63E-02","0,000026","4,109757E+00","6,537813E-03"
"1300,824","1,63E-02","0,000026","4,102975E+00","6,537908E-03"
"1301,826","1,63E-02","0,000026","4,094126E+00","6,538033E-03"
"1302,854","1,62E-02","0,000026","4,081519E+00","6,538212E-03"
"1303,855","1,62E-02","0,000026","4,064480E+00","6,538455E-03"
"1304,93","1,61E-02","0,000026","4,057361E+00","6,538557E-03"
"1305,966","1,61E-02","0,000026","4,039349E+00","6,538817E-03"
"1307,024","1,61E-02","0,000026","4,041710E+00","6,538783E-03"
"1308,026","1,60E-02","0,000026","4,034788E+00","6,538883E-03"
"1309,034","1,60E-02","0,000026","4,025107E+00","6,539024E-03"
"1310,05","1,59E-02","0,000026","4,009802E+00","6,539249E-03"
"1311,068","1,60E-02","0,000026","4,029082E+00","6,538966E-03"
"1312,082","1,59E-02","0,000026","4,009114E+00","6,539259E-03"
"1313,117","1,59E-02","0,000026","3,999837E+00","6,539396E-03"
"1314,12","1,59E-02","0,000026","3,990101E+00","6,539540E-03"
"1315,12","1,58E-02","0,000026","3,963988E+00","6,539931E-03"
"1316,132","1,57E-02","0,000026","3,952911E+00","6,540099E-03"
"1317,141","1,57E-02","0,000026","3,944454E+00","6,540227E-03"
